id,symbol,name,genesis_date,market_cap,market_rank,change_one_year,ath,ath_date,atl,atl_date,change_price,atl_market_value,atl_market_value_date,ath_market_value,ath_market_value_date,change_market_value,total_supply,current_price
bitcoin-cash-abc-2,bcha,Bitcoin Cash ABC,,2204246515,69,541.98,378.120000000000,2021-09-04T17:15:31.514Z,9.210000000000,2020-11-15T18:28:32.658Z,4005.54,0.00,,0.00,,0.00,21000000,117.280000
maker,mkr,Maker,,2184759079,70,350.20,6292.310000000000,2021-05-03T21:54:29.333Z,168.360000000000,2020-03-16T20:52:36.527Z,3637.41,0.00,,0.00,,0.00,987744,2420.840000
enjincoin,enj,Enjin Coin,2017-10-02,2182505677,71,1424.50,4.820000000000,2021-11-25T09:53:41.955Z,0.018659640000,2017-11-12T00:00:00.000Z,0.00,4207725568.00,2021-11-25,21603806.00,2019-02-07,19376.78,1000000000,2.330000
ecash,xec,eCash,,2137118997,72,0.00,0.000380010000,2021-09-04T17:09:31.137Z,0.000018470000,2021-07-20T20:49:46.212Z,1957.44,0.00,,0.00,,0.00,21000000000000,0.000113
zcash,zec,Zcash,,1888252352,73,113.30,3191.930000000000,2016-10-29T00:00:00.000Z,19.750000000000,2020-03-13T02:20:55.002Z,0.00,0.00,,0.00,,0.00,21000000,158.580000
theta-fuel,tfuel,Theta Fuel,,1886178774,74,1070.84,0.681590000000,2021-06-09T06:50:55.818Z,0.000908040000,2020-03-13T02:30:37.972Z,74961.67,0.00,,0.00,,0.00,5301200000,0.196656
thorchain,rune,THORChain,,1866520846,75,526.08,20.870000000000,2021-05-19T00:30:09.436Z,0.008512640000,2019-09-28T00:00:00.000Z,245064.84,0.00,,0.00,,0.00,500000000,6.270000
huobi-btc,hbtc,Huobi BTC,,1854496899,76,105.43,69325.000000000000,2021-05-10T02:33:06.038Z,11209.020000000000,2020-10-12T03:56:16.768Z,518.48,0.00,,0.00,,0.00,39884,46447.000000
kadena,kda,Kadena,,1823355523,77,6662.02,27.640000000000,2021-11-11T13:22:45.731Z,0.065811000000,2020-03-13T02:00:28.582Z,41899.06,0.00,,0.00,,0.00,1000000000,11.210000
neo,neo,NEO,,1815871666,78,45.28,198.380000000000,2018-01-15T00:00:00.000Z,0.078349000000,2016-10-21T00:00:00.000Z,0.00,0.00,,0.00,,0.00,100000000,25.750000
olympus,ohm,Olympus,,1809111813,79,0.00,1415.260000000000,2021-04-25T00:00:00.000Z,162.790000000000,2021-05-23T22:25:07.703Z,769.38,0.00,,0.00,,0.00,6927007,293.460000
